"","event_site_name","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"1","Bonneville Adult Fishways (combined)","Lower Columbia","Lower Columbia-Sandy",45.649788,-121.936531
"2","The Dalles Adult Fishways (combined)","Middle Columbia","Middle Columbia-Hood",45.619099,-121.119685
"3","McNary Adult Fishways (combined)","Middle Columbia","Middle Columbia-Lake Wallula",45.939935,-119.299824
"4","Ice Harbor Adult Fishways (combined)","Lower Snake","Lower Snake",46.249527,-118.879964
"5","Lower Granite Dam Adult Fishways (combined)","Lower Snake","Lower Snake-Tucannon",46.65776,-117.433225
"6","AFC - No./So. Fk Asotin Cr. Jct. ISA","Lower Snake","Lower Snake-Asotin",46.272487,-117.292147
"7","USE - Upper Salmon River at rkm 437","Salmon","Middle Salmon-Panther",45.02853,-113.916319
"8","USI - Upper Salmon River at rkm 460","Salmon","Middle Salmon-Panther",44.889763,-113.964145
"9","STL - Sawtooth Hatchery Adult Trap","Salmon","Upper Salmon",44.153369,-114.883772
"10","DRM - Deschutes River mouth","Deschutes","Lower Deschutes",45.631808,-120.912483
"11","GRJ - Lower Granite Dam Juvenile","Lower Snake","Lower Snake-Tucannon",46.660394,-117.436261
"12","Priest Rapids Adult Fishways (combined)","Upper Columbia","Upper Columbia-Priest Rapids",46.644339,-119.910442
"13","YFK - Yankee Fork Salmon River","Salmon","Upper Salmon",44.287737,-114.720453
"14","RRF - Rocky Reach Fishway","Upper Columbia","Upper Columbia-Entiat",47.531519,-120.300387
"15","BCC - BON PH2 Corner Collector","Lower Columbia","Lower Columbia-Sandy",45.64814,-121.942544
"16","Rock Island Adult Fishways (combined)","Upper Columbia","Upper Columbia-Entiat",47.343278,-120.0933
"17","Wells Dam Adult Fishways (combined)","Upper Columbia","Chief Joseph",47.947302,-119.864549
"18","RRJ - Rocky Reach Dam Juvenile","Upper Columbia","Upper Columbia-Entiat",47.531967,-120.299618
"19","LMR - Lower Methow River at Pateros","Upper Columbia","Methow",48.054608,-119.928121
"20","MCJ - McNary Dam Juvenile","Middle Columbia","Middle Columbia-Lake Wallula",45.932293,-119.2999
"21","OKL - Lower Okanogan Instream Array","Upper Columbia","Okanogan",48.26871,-119.728135
"22","B2J - Bonneville PH2 Juvenile","Lower Columbia","Lower Columbia-Sandy",45.636816,-121.9653
"23","VC2 - Valley Creek, Downstream Site","Salmon","Upper Salmon",44.2219,-114.93146
"24","VC1 - Valley Creek, Upstream Site","Salmon","Upper Salmon",44.218672,-114.94215
"25","JDJ - John Day Dam Juvenile","Middle Columbia","Middle Columbia-Hood",45.710014,-120.692581
"26","PRO - Prosser Diversion Dam Combined","Yakima","Lower Yakima",46.212539,-119.772663
"27","LMA - Lower Monumental Adult Ladders","Lower Snake","Lower Snake",46.562564,-118.538249
"28","GOJ - Little Goose Dam Juvenile","Lower Snake","Lower Snake-Tucannon",46.582381,-118.031607
"29","GOA - Little Goose Fish Ladder","Lower Snake","Lower Snake-Tucannon",46.582668,-118.027794
"30","TWR - Lwr Twisp Rvr near MSRF Ponds","Upper Columbia","Methow",48.367135,-120.13833
"31","CRW - Chewuch River above Winthrop","Upper Columbia","Methow",48.482323,-120.18137
"32","ENL - Lower Entiat River","Upper Columbia","Upper Columbia-Entiat",47.663782,-120.24282
"33","ENA - Upper Entiat River at rkm 17.1","Upper Columbia","Upper Columbia-Entiat",47.736615,-120.362532
"34","MAD - Mad River, Entiat River Basin","Upper Columbia","Upper Columbia-Entiat",47.736851,-120.368739
"35","TLT - Tillicum Creek Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.747434,-120.396699
"36","OKC - Okanagan Channel at VDS-3","Upper Columbia","Okanogan",49.114113,-119.565753
"37","RCL - Rock Creek (WA) at rkm 5","Middle Columbia","Middle Columbia-Lake Wallula",45.73785,-120.432964
"38","RCS - Rock Creek (WA) at rkm 14","Middle Columbia","Middle Columbia-Lake Wallula",45.795091,-120.464524
"39","JO2 - John Day North Fish Ladder","Middle Columbia","Middle Columbia-Hood",45.718658,-120.697771
"40","JD1 - John Day River, McDonald Ferry","John Day","Lower John Day",45.59574,-120.410928
"41","SJ1 - SF John Day (Mid)","John Day","Upper John Day",44.422105,-119.540665
"42","BR0 - Bridge Creek Gauge","John Day","Lower John Day",44.72723,-120.3022
"43","BR1 - Bridge Creek Kiosk","John Day","Lower John Day",44.654323,-120.251131
"44","BR2 - Bridge Creek Gable","John Day","Lower John Day",44.59243,-120.2081
"45","BR3 - Bridge Creek Ranch","John Day","Lower John Day",44.58517,-120.1837
"46","RCJ - Rock Creek John Day Basin","John Day","Lower John Day",45.57559,-120.37988
"47","JO1 - John Day South Fish Ladder","Middle Columbia","Middle Columbia-Hood",45.711138,-120.689427
"48","LAP - Lapwai Creek, near its mouth","Clearwater","Clearwater",46.443273,-116.812535
"49","SWT - Sweetwater Cr. near its mouth","Clearwater","Clearwater",46.369217,-116.795757
"50","WEB - Webb Creek","Clearwater","Clearwater",46.325992,-116.831974
"51","MIS - Mission Creek","Clearwater","Clearwater",46.367062,-116.735597
"52","MRC - Methow River at Carlton","Upper Columbia","Methow",48.246996,-120.118464
"53","CRU - Upper Chewuch Instream Array","Upper Columbia","Methow",48.669459,-120.137058
"54","MWF - Whitefish SC in Methow River","Upper Columbia","Methow",48.446048,-120.160572
"55","SCP - Spring Creek Acclimation Pond","Upper Columbia","Methow",48.474775,-120.185131
"56","TWX - Estuary Towed Array (Exp.)","Lower Columbia","Lower Columbia-Clatskanie",46.142688,-123.335061
"57","LBT - Little Bridge Creek (Twisp R.)","Upper Columbia","Methow",48.38075,-120.2867
"58","LTP - Lower Twisp Acclimation Pond","Upper Columbia","Methow",48.36646,-120.139009
"59","LLC - Loup Loup Creek Instream Array","Upper Columbia","Okanogan",48.283501,-119.70824
"60","BPC - Bonaparte Creek Instream Array","Upper Columbia","Okanogan",48.704819,-119.445464
"61","OKI - Inkaneep Creek ","Upper Columbia","Okanogan",49.078005,-119.502007
"62","ANT - Antoine Creek Instream Array","Upper Columbia","Okanogan",48.758345,-119.40842
"63","TNK - Tunk Creek Instream Array","Upper Columbia","Okanogan",48.561704,-119.485841
"64","MRW - Methow River at Winthrop","Upper Columbia","Methow",48.487797,-120.228681
"65","WFC - Wolf Creek, Methow River","Upper Columbia","Methow",48.488625,-120.234267
"66","MSH - Methow Fish Hatchery Outfall","Upper Columbia","Methow",48.476747,-120.204967
"67","DWL - Dworshak NFH adult trap","Clearwater","Lower North Fork Clearwater",46.502652,-116.324263
"68","LC1 - Lower Lolo Creek at rkm 21","Clearwater","Clearwater",46.29436,-115.97616
"69","LC2 - Upper Lolo Creek at rkm 25","Clearwater","Clearwater",46.290498,-115.933747
"70","LFF - Lyle Falls Fishway","Middle Columbia","Klickitat",45.716414,-121.259747
"71","SJ2 - SF John Day (Murderer's)","John Day","Upper John Day",44.314517,-119.539748
"72","SC1 - Lower SF Clearwater R at rkm 1","Clearwater","South Fork Clearwater",46.137022,-115.981313
"73","KHS - Big Bear Cr. @ Kendrick HS","Clearwater","Clearwater",46.619115,-116.646846
"74","LMJ - Lower Monumental Dam Juvenile","Lower Snake","Lower Snake",46.562954,-118.543164
"75","MRT - Methow River at Twisp","Upper Columbia","Methow",48.374112,-120.121573
"76","LLR - Lower Lemhi River","Salmon","Lemhi",45.176475,-113.885278
"77","SC2 - Lower SF Clearwater R at rkm 2","Clearwater","South Fork Clearwater",46.127209,-115.97776
"78","DSF - Deschutes Sherars Falls","Deschutes","Lower Deschutes",45.256897,-121.039616
"79","WSR - Warm Springs River PIT Array","Deschutes","Lower Deschutes",44.859752,-121.068348
"80","JOC - Joseph Creek ISA @ km 3","Lower Snake","Lower Grande Ronde",46.030237,-117.016408
"81","BHC - Bohannon Creek Lemhi R Basin","Salmon","Lemhi",45.112189,-113.746897
"82","WR1 - Wallowa River at river km 14","Lower Snake","Wallowa",45.633679,-117.733757
"83","UGR - Upper Grande Ronde at rkm 155","Lower Snake","Upper Grande Ronde",45.59352,-117.903379
"84","MJ1 - Middle Fork John Day Array","John Day","Middle Fork John Day",44.741933,-118.851057
"85","TMF - Three Mile Falls Dam Combined","Middle Columbia","Umatilla",45.882018,-119.32442
"86","ENM - Middle Entiat River","Upper Columbia","Upper Columbia-Entiat",47.797049,-120.403073
"87","ENS - Upper Entiat River at rkm 35.7","Upper Columbia","Upper Columbia-Entiat",47.856847,-120.422479
"88","ENF - Upper Entiat River at rkm 40.6","Upper Columbia","Upper Columbia-Entiat",47.901735,-120.466191
"89","TUF - Tumwater Dam Adult Fishway","Upper Columbia","Wenatchee",47.616998,-120.722948
"90","UWE - Upper Wenatchee River","Upper Columbia","Wenatchee",47.796433,-120.663611
"91","WEJ - Wells Dam Bypass Bay Sample","Upper Columbia","Chief Joseph",47.946712,-119.866469
"92","LWE - Lower Wenatchee River","Upper Columbia","Wenatchee",47.464893,-120.350162
"93","CCW - Catherine Creek Ladder/Weir","Lower Snake","Upper Grande Ronde",45.190964,-117.828617
"94","WHS - Wildhorse Spring Creek","Upper Columbia","Okanogan",48.857063,-119.407315
"95","LRL - Lower Lochsa River Array Site","Clearwater","Lochsa",46.145727,-115.596497
"96","LRU - Lochsa River Upper Site","Clearwater","Lochsa",46.163821,-115.589663
"97","IR1 - Lower Imnaha River ISA @ km 7","Lower Snake","Imnaha",45.761052,-116.750231
"98","PRV - Walla Walla R at Pierce RV Prk","Middle Columbia","Walla Walla",46.068014,-118.825796
